STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_COHORT_1718,ALL_RATE_1718,MAM_COHORT_1718,MAM_RATE_1718,MAS_COHORT_1718,MAS_RATE_1718,MBL_COHORT_1718,MBL_RATE_1718,MHI_COHORT_1718,MHI_RATE_1718,MTR_COHORT_1718,MTR_RATE_1718,MWH_COHORT_1718,MWH_RATE_1718,CWD_COHORT_1718,CWD_RATE_1718,ECD_COHORT_1718,ECD_RATE_1718,FCS_COHORT_1718,FCS_RATE_1718,HOM_COHORT_1718,HOM_RATE_1718,LEP_COHORT_1718,LEP_RATE_1718,DATE_CUR
MICHIGAN,26,2607320,MI-56020,Bullock Creek School District,2.60732E+11,MI-56020-00443,Bullock Creek High School,125,GE95,1,PS,2,PS,1,PS,.,.,1,PS,120,GE95,8,GE50,49,GE90,.,.,5,PS,1,PS,23-Sep-19
MICHIGAN,26,2607410,MI-75020,Burr Oak Community School District,2.60741E+11,MI-75020-00459,Burr Oak High School,17,GE80,.,.,.,.,.,.,2,PS,.,.,15,GE50,2,PS,13,GE50,1,PS,4,PS,.,.,23-Sep-19
MICHIGAN,26,2607410,MI-75020,Burr Oak Community School District,2.60741E+11,MI-75020-03088,Burr Oak Virtual Academy,4,PS,.,.,.,.,.,.,.,.,.,.,4,PS,.,.,3,PS,.,.,1,PS,.,.,23-Sep-19
MICHIGAN,26,2607470,MI-02020,Burt Township School District,2.60747E+11,MI-02020-04999,Burt Township School,3,PS,.,.,.,.,.,.,.,.,.,.,3,PS,2,PS,2,PS,.,.,2,PS,.,.,23-Sep-19
MICHIGAN,26,2607530,MI-78020,Byron Area Schools,2.60753E+11,MI-78020-00472,Byron Area High School,98,GE95,3,PS,5,PS,.,.,2,PS,2,PS,86,GE95,17,GE80,32,GE90,.,.,1,PS,.,.,23-Sep-19
MICHIGAN,26,2607560,MI-41040,Byron Center Public Schools,2.60756E+11,MI-41040-00475,Byron Center High School,241,94,2,PS,13,GE50,6,GE50,13,GE50,6,GE50,201,GE95,15,LT50,59,80-89,2,PS,1,PS,4,PS,23-Sep-19
MICHIGAN,26,2607590,MI-83010,Cadillac Area Public Schools,2.60759E+11,MI-83010-00488,Cadillac Senior High School,205,90,2,PS,1,PS,1,PS,9,GE50,5,PS,187,90-94,25,40-59,94,80-84,.,.,4,PS,1,PS,23-Sep-19
MICHIGAN,26,2607590,MI-83010,Cadillac Area Public Schools,2.60759E+11,MI-83010-07271,Cadillac Innovation High School,49,30-39,.,.,.,.,.,.,2,PS,1,PS,46,30-39,.,.,41,30-39,.,.,8,GE50,.,.,23-Sep-19
MICHIGAN,26,2607620,MI-41050,Caledonia Community Schools,2.60762E+11,MI-41050-08973,Glenmor High School,6,LT50,.,.,.,.,.,.,.,.,.,.,6,LT50,.,.,4,PS,1,PS,1,PS,.,.,23-Sep-19
MICHIGAN,26,2607620,MI-41050,Caledonia Community Schools,2.60762E+11,MI-41050-00491,Caledonia High School,377,93,1,PS,8,GE50,11,GE50,17,GE80,9,GE50,331,92,41,60-69,68,80-84,1,PS,3,PS,1,PS,23-Sep-19
MICHIGAN,26,2607690,MI-31030,Public Schools of Calumet Laurium & Keweenaw,2.60769E+11,MI-31030-09566,CHSHorizons School,21,60-79,.,.,.,.,.,.,.,.,.,.,21,60-79,6,GE50,17,40-59,.,.,.,.,.,.,23-Sep-19
MICHIGAN,26,2607690,MI-31030,Public Schools of Calumet Laurium & Keweenaw,2.60769E+11,MI-31030-00497,Calumet High School,117,45-49,1,PS,.,.,.,.,1,PS,.,.,115,45-49,6,GE50,53,40-49,.,.,1,PS,.,.,23-Sep-19
MICHIGAN,26,2607710,MI-30010,Camden-Frontier School,2.60771E+11,MI-30010-00504,CamdenFrontier High School,41,GE90,.,.,1,PS,1,PS,.,.,.,.,39,GE90,8,GE50,21,GE80,.,.,6,GE50,.,.,23-Sep-19
MICHIGAN,26,2607800,MI-74040,Capac Community Schools,2.6078E+11,MI-74040-00519,Capac High School,62,GE95,.,.,.,.,1,PS,11,GE50,.,.,50,GE90,7,GE50,29,GE80,.,.,2,PS,2,PS,23-Sep-19
MICHIGAN,26,2607800,MI-74040,Capac Community Schools,2.6078E+11,MI-74040-01394,Capac Virtual Education Program,16,21-39,.,.,.,.,.,.,1,PS,3,PS,12,LT50,6,LT50,12,LT50,.,.,.,.,.,.,23-Sep-19
MICHIGAN,26,2607890,MI-25080,Carman-Ainsworth Community Schools,2.60789E+11,MI-25080-07576,Mott Middle College High School,57,GE90,.,.,.,.,38,GE90,3,PS,3,PS,13,GE50,.,.,41,GE90,.,.,.,.,1,PS,23-Sep-19
MICHIGAN,26,2607890,MI-25080,Carman-Ainsworth Community Schools,2.60789E+11,MI-25080-07710,BendleCarmanAinsworth Alternative Education,38,20-29,.,.,.,.,16,21-39,1,PS,2,PS,19,LE20,3,PS,31,19-Nov,.,.,.,.,.,.,23-Sep-19
MICHIGAN,26,2607890,MI-25080,Carman-Ainsworth Community Schools,2.60789E+11,MI-25080-05009,CarmanAinsworth High School,286,90,4,PS,2,PS,181,90-94,9,GE50,19,GE80,71,85-89,30,60-79,198,85-89,1,PS,3,PS,4,PS,23-Sep-19
MICHIGAN,26,2607890,MI-25080,Carman-Ainsworth Community Schools,2.60789E+11,MI-25080-09774,Genesee Early College,32,GE90,.,.,2,PS,11,GE50,2,PS,1,PS,16,GE80,.,.,12,GE50,.,.,.,.,2,PS,23-Sep-19
MICHIGAN,26,2607890,MI-25080,Carman-Ainsworth Community Schools,2.60789E+11,MI-25080-02790,CarmanAinsworth Baker Career Academy,8,GE50,.,.,.,.,3,PS,.,.,1,PS,4,PS,2,PS,7,GE50,.,.,.,.,.,.,23-Sep-19
MICHIGAN,26,2608010,MI-55010,Carney-Nadeau Public Schools,2.60801E+11,MI-55010-00527,CarneyNadeau School,21,GE80,.,.,.,.,.,.,.,.,1,PS,20,GE80,3,PS,16,GE80,.,.,1,PS,.,.,23-Sep-19
MICHIGAN,26,2608010,MI-55010,Carney-Nadeau Public Schools,2.60801E+11,MI-55010-02357,Phoenix Alternative High School,11,LT50,2,PS,.,.,.,.,.,.,.,.,9,LT50,.,.,8,LT50,.,.,.,.,.,.,23-Sep-19
MICHIGAN,26,2608040,MI-79020,Caro Community Schools,2.60804E+11,MI-79020-07809,Caro Alternative High School,31,40-49,.,.,1,PS,.,.,1,PS,.,.,29,40-59,5,PS,24,40-59,.,.,3,PS,.,.,23-Sep-19
MICHIGAN,26,2608040,MI-79020,Caro Community Schools,2.60804E+11,MI-79020-00529,Caro High School,113,90-94,2,PS,2,PS,.,.,5,PS,.,.,104,90-94,20,60-79,44,80-89,.,.,2,PS,.,.,23-Sep-19
MICHIGAN,26,2608070,MI-73030,Carrollton Public Schools,2.60807E+11,MI-73030-09242,Omni High School,40,50-59,.,.,.,.,7,GE50,20,40-59,.,.,13,GE50,1,PS,39,50-59,.,.,3,PS,1,PS,23-Sep-19
