STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_COHORT_1718,ALL_RATE_1718,MAM_COHORT_1718,MAM_RATE_1718,MAS_COHORT_1718,MAS_RATE_1718,MBL_COHORT_1718,MBL_RATE_1718,MHI_COHORT_1718,MHI_RATE_1718,MTR_COHORT_1718,MTR_RATE_1718,MWH_COHORT_1718,MWH_RATE_1718,CWD_COHORT_1718,CWD_RATE_1718,ECD_COHORT_1718,ECD_RATE_1718,FCS_COHORT_1718,FCS_RATE_1718,HOM_COHORT_1718,HOM_RATE_1718,LEP_COHORT_1718,LEP_RATE_1718,DATE_CUR
TEXAS,48,4817700,TX-220918,EAGLE MT-SAGINAW ISD,4.8177E+11,TX-220918-220918004,SAGINAW H S,459,96,,,35,GE90,80,GE95,179,GE95,6,GE50,159,GE95,41,GE90,197,GE95,,,12,GE50,36,GE90,23-Sep-19
TEXAS,48,4817700,TX-220918,EAGLE MT-SAGINAW ISD,4.8177E+11,TX-220918-220918006,CHISHOLM TRAIL H S,519,98,3,PS,18,GE80,74,GE95,207,GE95,15,GE50,202,GE95,34,GE90,226,GE95,2,PS,24,GE80,23,GE80,23-Sep-19
TEXAS,48,4817730,TX-159901,EAGLE PASS ISD,4.81773E+11,TX-159901-159901001,EAGLE PASS HIGH SCHOOL,528,93,1,PS,1,PS,1,PS,517,93,1,PS,7,GE50,21,60-79,388,93,,,6,GE50,79,85-89,23-Sep-19
TEXAS,48,4817730,TX-159901,EAGLE PASS ISD,4.81773E+11,TX-159901-159901004,C C WINN HIGH SCHOOL,503,90,8,GE50,,,,,493,90,,,2,PS,36,70-79,376,90,,,20,GE80,65,70-74,23-Sep-19
TEXAS,48,4817760,TX-227909,EANES ISD,4.81776E+11,TX-227909-227909001,WESTLAKE H S,639,GE99,2,PS,87,GE95,9,GE50,92,GE95,31,GE90,418,GE99,36,GE90,32,GE90,,,1,PS,7,GE50,23-Sep-19
TEXAS,48,4817760,TX-227909,EANES ISD,4.81776E+11,TX-227909-227909005,ADULT TRANSITION SERVICES,5,PS,,,,,,,,,,,5,PS,5,PS,,,,,,,,,23-Sep-19
TEXAS,48,4817790,TX-025909,EARLY ISD,4.81779E+11,TX-025909-025909001,EARLY H S,96,GE95,1,PS,3,PS,2,PS,16,GE80,2,PS,72,GE95,5,PS,32,GE90,1,PS,7,GE50,,,23-Sep-19
TEXAS,48,4817830,TX-241902,EAST BERNARD ISD,4.81783E+11,TX-241902-241902001,EAST BERNARD H S,78,GE95,,,,,5,PS,17,GE80,,,56,GE90,5,PS,22,GE80,,,2,PS,2,PS,23-Sep-19
TEXAS,48,4817850,TX-015911,EAST CENTRAL ISD,4.81785E+11,TX-015911-015911001,EAST CENTRAL H S,771,90,1,PS,3,PS,65,80-84,553,91,10,GE50,139,90-94,87,70-74,448,90,5,PS,51,80-89,36,80-89,23-Sep-19
TEXAS,48,4817880,TX-036903,EAST CHAMBERS ISD,4.81788E+11,TX-036903-036903001,EAST CHAMBERS H S,96,GE95,,,,,9,GE50,30,GE80,2,PS,55,GE90,7,GE50,51,GE90,,,29,GE80,11,GE50,23-Sep-19
TEXAS,48,4817960,TX-067903,EASTLAND ISD,4.81796E+11,TX-067903-067903001,EASTLAND H S,89,90-94,,,1,PS,2,PS,22,GE80,2,PS,62,GE95,10,GE50,41,GE90,1,PS,12,GE50,7,GE50,23-Sep-19
TEXAS,48,4818000,TX-068901,ECTOR COUNTY ISD,4.818E+11,TX-068901-068901002,ODESSA H S,794,76,4,PS,9,GE50,23,60-79,640,76,7,GE50,111,75-79,71,65-69,337,72,,,98,40-44,93,55-59,23-Sep-19
TEXAS,48,4818000,TX-068901,ECTOR COUNTY ISD,4.818E+11,TX-068901-068901003,PERMIAN H S,844,87,8,GE50,23,GE80,44,80-89,527,86,11,GE50,231,85-89,73,75-79,280,80-84,,,75,60-64,68,65-69,23-Sep-19
TEXAS,48,4818000,TX-068901,ECTOR COUNTY ISD,4.818E+11,TX-068901-068901004,ALTER ED CTR,1,PS,,,,,,,,,,,1,PS,,,,,,,1,PS,,,23-Sep-19
TEXAS,48,4818000,TX-068901,ECTOR COUNTY ISD,4.818E+11,TX-068901-068901011,GEORGE H W BUSH NEW TECH ODESSA,70,90-94,,,2,PS,,,45,80-89,,,23,GE80,9,LT50,22,GE80,,,5,PS,1,PS,23-Sep-19
TEXAS,48,4818030,TX-074905,ECTOR ISD,4.81803E+11,TX-074905-074905001,ECTOR H S,17,GE80,,,,,1,PS,3,PS,,,13,GE50,1,PS,9,GE50,1,PS,7,GE50,,,23-Sep-19
TEXAS,48,4818060,TX-108903,EDCOUCH-ELSA ISD,4.81806E+11,TX-108903-108903001,EDCOUCH-ELSA H S,318,92,,,,,2,PS,314,92,,,2,PS,26,GE80,318,92,1,PS,16,GE80,64,80-84,23-Sep-19
TEXAS,48,4818060,TX-108903,EDCOUCH-ELSA ISD,4.81806E+11,TX-108903-108903004,EDCOUCH-ELSA H S ACADEMY,80,85-89,,,,,,,80,85-89,,,,,5,PS,78,85-89,1,PS,5,PS,38,80-89,23-Sep-19
